ID,delta_r,
AWIVUX,2.241695,
HUGFOH,3.483393,
HUHJOM,2.283000,
HUHJUS,2.281610,
HUHKED,2.253959,
HUHKIH,2.251499,
HUJPEK,2.906500,
HUKBUL,1.253832,
HUKCUN,4.129229,
HUKQEL,4.237873,
HUKQIP,3.756109,
AWIWIO,3.945920,
HUKTEM,1.755433,
HULPEM,3.829538,
HUMLOR,0.000001,
HUNDEZ,3.041333,
HUNLEJ,3.373970,
HUPJOU,3.581718,
HUPWEX,1.608571,
HUQBEA,2.731497,
HUQLIR,3.171962,
HUQLOX,3.144478,
AWOLIJ,1.559666,
HUQPUG,0.761593,
HURMAK,3.113481,
HURXIE,0.742958,
HURXOH,1.781963,
HURXOK,0.953566,
HURXUQ,1.019813,
HUSCEF,3.413443,
HUSSAR,3.427229,
HUVDUY,5.675425,
HUWCUZ,2.354910,
AWUBID,2.819300,
ACUYAA,2.805746,
HUWYEG,4.083825,
HUXFUB,1.491462,
HUXKOC,2.809170,
HUXLIX,2.521681,
HUXLOD,1.252512,
HUXLUJ,2.541667,
HUYTAY,4.028093,
HUZQIF,1.773500,
HXNIPA10,2.928024,
HYBZRN,1.570197,
AWUDON,1.631485,
HYFURN,0.428126,
IANTRQ,0.000000,
IBCAPT10,1.452506,
IBEMOU01,1.278780,
IBENAH,1.282157,
IBENEL,1.274036,
IBODOV,0.417779,
IBOZOO,2.791657,
IBUKIB,1.836600,
IBUSUV,6.450932,
AWUFOP,2.635623,
IBUTIK,1.902615,
ICAHEA,3.579313,
ICAHIE,0.000000,
ICAHUQ,3.726794,
ICECAU,1.377164,
ICEKOT,2.018742,
ICIFUY,6.009398,
ICILIP,1.955801,
ICILUB,0.056928,
ICIWIB,3.288434,
AWUKEJ,3.153733,
ICIWOH,3.312182,
IDAREN,2.348949,
IDAWUI,4.275079,
IDEBUR,1.672696,
IDEHEE,3.011960,
IDEYUN,2.492507,
IDIREU,3.858806,
IDIVEY,1.856530,
IDIVUN,3.860142,
IDIYOL,0.761843,
AWUQOZ,3.444502,
IDIYUS,2.074191,
IDIZOM,5.928871,
IDOCIP,3.964634,
IDOJOA,4.390425,
IDOKUI,4.715677,
IDOTAY,2.453546,
IDUTOT,0.000045,
IDUXAG,1.456170,
IDUXUA01,2.190059,
IFADID,3.696940,
AXABOR,3.493497,
IFAQAJ,1.651818,
IFASUF,4.793530,
IFECIG,4.438603,
IFECOM,4.031267,
IFIYUU,1.885001,
IFIZAB,2.060979,
IFOFIV,3.880586,
IFOFOB,3.857467,
IFOYAF,3.466780,
IFUHAS,0.035626,
AXAGAI,2.663946,
IFUKID,1.445714,
IFUKOJ,2.446629,
IFUKUP,2.748162,
IFULEA,2.581603,
IFULIE,3.672849,
IFUMAA,2.668888,
IFUPEH,2.236725,
IFURUX,2.386000,
IGAJEI,2.231191,
IGAJOS,2.053396,
AXALAN,2.366383,
IGATER,3.526308,
IGEVEY,3.254072,
IGEZUR,0.517250,
IGIBAD,0.187849,
IGIBEH,0.280701,
IGOLUN,3.366442,
IGOYAH,1.175296,
IGUDAS,6.663703,
IGUDEW,0.857008,
IHAMEJ,0.929455,
AXEBIQ,1.727380,
IHAZEX,0.000000,
IHEDIJ,0.225139,
IHUGUQ,0.001326,
IJAFEG,3.107588,
IJEHAH,0.816505,
IJEHIP,0.512354,
IJEHOV,1.225906,
IJELEQ,4.171847,
IJEMIV,0.272351,
IJEPUI,3.753404,
AXEDUC,2.215038,
IJICEL,0.750266,
IJOCUF,0.135524,
IJOKUN,1.754335,
IJOLAU,0.094416,
IJOXOV,1.366079,
IJUCIA,2.733037,
IJUCOG,3.091884,
IJUMAC,2.033079,
IJUREL,2.804037,
IJURIP,2.812971,
AXIJOI,3.626713,
ACUYII,1.885771,
ABAWAE,2.073900,
IJUWIU,3.545474,
IKIGOY,0.134584,
IKUQEK,0.000001,
IKUZET,2.881606,
ILEXAY,0.392877,
ILIXAE,0.635319,
ILOJAW,1.669229,
ILOYOY,4.398397,
ILOYUE,4.775029,
ILUBEY,4.706327,
AXOJED,2.856422,
IMANOB,3.257069,
IMANUH,3.196804,
IMDIAC01,0.700466,
IMEDEK,0.126469,
IMEZOP,1.401321,
IMOFUN,2.929141,
IMOJAV,4.145803,
IMOJEZ,4.969229,
INAPQU,1.181192,
INEJIV01,2.123999,
AXOJIH,2.093969,
INEJIW,3.417181,
INIDIU,1.034611,
INIRON,1.985115,
INISAA,0.393844,
INIVEI,3.259185,
INOHUO,1.669897,
INUCUQ,1.503386,
INUJUX,2.848746,
IOANTQ,2.781672,
IODOFO,0.097313,
AXUBOM,1.714227,
IONTRQ,2.928960,
IPCBMZ,2.649307,
IPCBTZ,1.056513,
IPILUO,0.048173,
IPMUDS,0.793815,
IPOCDN,0.843035,
IPOGOJ,0.254014,
IPOTOW,3.809402,
IPOVAM,2.005425,
IPTCTZ,1.067614,
AXURIW,3.326579,
IPTPTZ,1.084273,
IPUMUC,0.368519,
IPUVOG,1.092897,
IQACAG,1.870752,
IQADUB,4.941911,
IQATOL,3.461767,
IQAVAZ,4.287764,
IQAXII,3.446104,
IQEBAJ,0.571496,
IQELIB,2.952073,
AYUHOT,2.453776,
IQEXEI,1.653853,
IQIXIQ,1.205388,
IQOSIQ,4.106932,
IQUHOT,6.500153,
IQURUI,0.980896,
IREFIU,4.045005,
IROYAP,2.884026,
IRUCAB,2.945795,
IRUXAV,3.156442,
IRUXEZ,6.661645,
AYUTIY,2.841456,
IRUXID,2.238155,
ISABOU,3.003543,
ISIZEP,3.466055,
ISOTAL,1.735205,
ISOTEP,3.046777,
ITEZIQ,0.071696,
ITIQAD,0.507009,
ITIRIN,0.045571,
ITOBEA,3.176602,
ITOJOR,3.404217,
AYUTOE,2.593407,
ITUGIO,2.017542,
ITUMOA,2.148160,
ITUMUG,2.139975,
ITUNAN,2.355169,
ITUWEB,0.298550,
IVABIS,2.096432,
IVETAG,7.856376,
IVEWOV,4.140077,
IVIGAX,2.368991,
IVOLAG,2.841212,
AYUYEZ,2.582956,
IVUGEM,4.693526,
IVUJAM,1.153342,
IWANID,7.605720,
IWIGUR,0.927703,
IWOKIP,1.577584,
IWOKIQ,1.832977,
IWOKUB,0.005508,
IWOLEM,0.004155,
IWOXUP,2.486750,
IWUTID,1.643286,
AZADUB,3.342150,
IXAHOG,3.066572,
IXATUW,2.701717,
IXOWOI,5.003963,
IXOYIE,2.956454,
IXUDAG,0.180289,
IXUPOG,0.978570,
IYAYAJ,1.103399,
IYISOA,2.406188,
IYOCOO,0.258042,
IYOYEA,0.564771,
AZAFUE,1.199478,
ACUYOO,3.341378,
IYUYIL,0.718395,
IZALAX,1.387943,
IZALIF,2.258549,
IZAMIF,3.287792,
IZAPUV,0.000000,
IZAQAC,0.000007,
IZAWEL,1.806727,
IZOCOR01,5.409147,
IZODAE,4.663962,
JABBAS,5.690045,
AZANEU,1.212512,
JABDUL,2.306690,
JABFAW,1.759560,
JACCIZ,1.215899,
JACCOF,1.270135,
JADQAJ,2.657215,
JADZIB,1.215593,
JAGKUY,
JAGXUL,1.906197,
JAHXOF,4.684115,
JAQTOK,2.141604,
AZAZIM,5.602861,
JARPEA,2.017999,
JARPIE,0.025229,
JASNIB,2.219325,
JATGOB,1.634029,
JATWOT,3.593147,
JAXGOF,4.000854,
JAXSUX,1.129071,
JAYJOL,2.521541,
JAYQUV,0.000000,
JEBLOR,0.553401,
AZEREE,4.696585,
JEBNEK,1.518534,
JECSIT,1.652863,
JECSIW,2.902725,
JECTEQ,0.000000,
JECTUG,0.000000,
JECTUJ,1.477187,
JECWAS,2.418889,
JECYAZ,0.000002,
JEDTUH,2.754977,
JEFKUB,2.521940,
AZESAB,5.812417,
JEGBIG,0.000000,
JEGBOP,1.438244,
JEGSOD,2.859603,
JEHQET,0.514649,
JEJJAM,0.002883,
JEMHIS,4.474219,
JERKIB,1.465835,
JESDUH,3.677515,
JEVDIY,
JEVPIJ,1.219617,
AZESAZ,2.767056,
JEVPOP,0.803380,
JEVRAE,0.676357,
JEXTEM,3.097766,
JEZYOC,0.000002,
JIBCIG03,3.798172,
JIDFEH,1.230256,
JIFHUE,2.277050,
JIFROI,2.939601,
JIGDEI,4.404068,
JIGFOU,2.071545,
AZEXOU,2.821536,
JIHBUA,1.972108,
JIMFER,1.126751,
JIMFUH,1.128055,
JIMZUD,2.614918,
JINBIS,2.992582,
JINGEV,5.544018,
JINKEX,3.077049,
JINNOJ,2.536633,
JINNUP,2.967554,
JINWEI,3.825676,
AZITUA,1.798098,
JIPFEW,2.075955,
JIPMAW,3.210469,
JIRBOE,1.502665,
JIRCEV,3.848865,
JIRCOF,3.445809,
JIRGAV,2.101058,
JISXOZ,1.256164,
JISXUF,2.390878,
JISYAL,4.557664,
JITPEH,1.834446,
AZOSUE,3.757758,
JITQUB,2.887963,
JITWAK01,2.203966,
JITWIS,4.137464,
JIVNOU,3.873025,
JIVQIR,1.702352,
JIYHIJ,0.169261,
JIYHOP,0.293778,
JIYKAD,0.273675,
JIZXUM,4.532257,
JOCGAM,1.918758,
AZOSUL10,4.967816,
JODMIY,3.078064,
JODQAX,1.541642,
JOFLAR,3.003923,
JOFSIH,2.593822,
JOFSON,2.131775,
JOFSUS,0.024683,
JOFSUT,2.615281,
JOGCIU,2.446561,
JOGYOV,2.803120,
JOHJIB01,1.294366,
AZUHAG,5.367384,
ADDHMP,1.754971,
JOHMOL,3.490793,
JOJHEY,0.760630,
JOJVOT,2.085971,
JOKFUM,6.094663,
JOKNUU,4.057363,
JOLLUT,1.352998,
JOLMEE,2.989858,
JOLQUY,3.118622,
JOLWEO,2.363898,
JOMCIZ,3.927610,
AZULOP,0.000000,
JOMSIQ,1.259425,
JOMWEQ,2.960490,
JONJII,6.963035,
JONLEG,4.476320,
JONYES,2.326987,
JOPHOL,0.095943,
JOPSIS,3.424371,
JOQTUE,1.808759,
JOTNEO,0.381989,
JOTRAN,2.929721,
BABFOD,4.042712,
JOTRER,4.139839,
JOWVAU01,1.312455,
JOWVEY,1.364582,
JOXHIP,4.989640,
JOXVOK,3.278508,
JOYNIX,5.052027,
JOYZAB,3.299711,
JOYZEF,3.278653,
JOYZIJ,3.638212,
JOYZOP,5.280943,
BABHIV10,1.471199,
JOYZUV,5.526183,
JOZTUQ,3.542237,
JOZVIG,2.271390,
JOZVUS,2.823733,
JOZWUT,2.417162,
JOZYIG,4.463708,
JOZYIJ,8.982448,
JUBFOB01,2.420320,
JUDROP,1.134275,
JUDSOT,3.412716,
BABTEG,0.976515,
JUDVAH,0.000040,
JUFRUA,4.015452,
JUGRIP,2.002317,
JUGXIS,2.035732,
JUGXUE,1.878431,
JUHDIZ,0.856743,
JUHJOL,2.925003,
JUHKOM,2.937885,
JUHKUS,2.815490,
JUKLUY,1.609009,
BACCUD,4.569936,
JUKMOR,1.001725,
JUKPOW,5.695001,
JUKQUE,0.259370,
JULLUA,3.190388,
JULTOC,3.930927,
JUMDUS,1.884853,
JUMDUT,4.010676,
JUMFAB,4.047886,
JUMFEF,3.711856,
JUNBAX,0.726373,
BACNAW,1.053456,
JUNPIU,1.545847,
JUNQUE,3.605518,
JUPNOZ,2.034373,
JUPPAN,2.855780,
JUPROE,0.954822,
JUPSUL,1.918688,
JUPTEW,2.147480,
JUQMIU,3.953001,
JUTGIQ,2.339958,
JUTLUI,6.813940,
BACTAD,2.695316,
JUTMET,0.003763,
JUTRUO,5.606800,
JUVJUH,3.545872,
JUVKES,2.598713,
JUWYEI,2.273563,
KABFAX,4.740508,
KABGAY,3.737552,
KACPOW,3.743369,
KADJAD,2.379200,
KADWAQ,1.605153,
BACTIL,2.503298,
KAFZEZ,1.359150,
KAFZID,1.143954,
KAGBUR,2.841804,
KAGCAW,0.135807,
KAGXUO,3.321377,
KAHDIJ,2.057909,
KAHDOM,4.732172,
KAHDUS,1.523617,
KAHSET,2.823879,
KAHTUI,1.084408,
BADDES,2.612896,
KAJHIM,1.968162,
KALWUP,0.000065,
KAMCIK,2.086973,
KANJUH,0.537004,
KANZUX,2.902491,
KAPNIZ,0.002422,
KAQXAB,0.335377,
KARVIJ,2.093868,
KASHOB,2.342772,
KASJUK,2.864734,
BADKIC,0.667734,
ADEBER,0.142033,
KASZEJ,0.000000,
KATDIS,3.037926,
KATDIT,2.856736,
KATJIB,2.541406,
KATREF,3.929106,
KATSED,2.482453,
KAVNAX,2.380815,
KAVNEB,2.542325,
KAVSAE,3.771531,
KAXSUA,2.503185,
BADNEZ,0.437843,
KAXTAH,1.419568,
KAXVAJ,2.960805,
KAXYUG,2.684755,
KAYHOK,0.787023,
KAYHUQ,0.768012,
KAYNAC,2.684088,
KAYTIQ,2.001143,
KAYZUF01,0.858981,
KEBHIK02,2.131960,
KEBKOS,2.118460,
BAGXEO,4.981150,
KEBSER,2.203953,
KEBSUH,2.323681,
KEFJEM,2.192268,
KEFJIQ,2.633389,
KEFRIY,1.148129,
KEFROC,2.475896,
KEGROG,3.545947,
KEGZOM,3.358791,
KEJBEG,2.227099,
KEJBIK,2.025821,
BAJKOM,2.486401,
KEJFIQ,1.449962,
KEJPIA,4.794029,
KEKZAE,2.408765,
KELHOZ,1.070295,
KELMUM,2.046500,
KEMHUH,3.032290,
KENYOS,1.537329,
KEPKAT,1.383526,
KEQZOV,3.958209,
KERNAW,0.000000,
BAJKUS,3.230426,
KERPAZ,1.403102,
KERRIL,1.605006,
KERRUW,3.342466,
KESKIF,2.818535,
KESNEE,9.096450,
KETKAY,6.098038,
KETQEI,3.488927,
KETREH,2.016878,
KETWOX04,0.391789,
KEVCIX,5.974461,
BAJVEP,1.236716,
KEVGIB,0.897427,
KEVMEG,1.591970,
KEXJED,4.041243,
KEXRAG,0.897682,
KIBCUT,1.611771,
KIBFOT,3.922639,
KIBNER,2.092457,
KICYAY,0.001062,
KICYUS,1.070867,
KIFDEK,0.868965,
BALFEA,3.605741,
KIGSIE,1.258807,
KIGSOK,0.736711,
KIGSUQ,2.860221,
KIGTEB,0.000001,
KIGTIF,0.000000,
KIGTOL,1.517157,
KIGTUR,0.000097,
KIGVAZ,1.091505,
KIGVED,0.406882,
KIGVIH,0.000002,
BALFUQ,3.819146,
KIGYAC,0.001404,
KIGYIK,0.000000,
KIGYOQ,1.508344,
KIGYUW,0.882672,
KIGZAD,0.688282,
KIGZEH,0.000496,
KIHXAA,1.737242,
KIJBIR,2.902744,
KIJSIG,1.998250,
KIJSOM,4.231800,
BALHIS01,1.870125,
KIKDUE,3.650728,
KIKKAT,3.042725,
KIKKOH,2.923329,
KILREE,1.851401,
KILRII,0.955080,
KILROO,1.651611,
KILVAE,3.963775,
KINHEX,6.244309,
KINHIB,7.978341,
KINVUB,4.228921,
BALJAC,0.981110,
KINWIN,0.687556,
KIRTIQ,0.000000,
KIRYEQ,2.364818,
KISNUW,0.000001,
KITREK,7.548826,
KIVCOK,0.764654,
KIVDAV,0.003463,
KIWNEM,3.028277,
KIWWUK,3.709332,
KIWZEW,4.847938,
BALKEF,3.652807,
ADMOPM,6.051577,
KIXBIC,3.037604,
KIXCOJ,2.573933,
KIXFUT,3.880326,
KIXGAA,0.686372,
KIXSOZ,0.801346,
KIXTEQ,2.933735,
KIYGAA,1.304749,
KIYHOP,1.631319,
KIYHUV,3.212566,
KIZCEB,1.039812,
BALNIN02,1.030794,
KIZLEL,0.873522,
KIZMAI01,0.888278,
KIZTUJ,1.455543,
KIZVAR,2.893355,
KOBCEM,1.398827,
KOBCIQ,1.455716,
KOBCOW,1.536391,
KOBLUI,2.123302,
KOCHIT,1.795453,
KOCKIZ,0.649073,
BANREN,5.368429,
KOCLEU,1.805230,
KODCAI,3.649713,
KODTIG01,0.000000,
KOFCIS,3.253119,
KOFKUN,0.000000,
KOFLIB,3.232658,
KOGKIC,4.489066,
KOGLEZ,4.228664,
KOGRAZ,3.592269,
KOGRIH,4.392285,
BAPPAK,0.168169,
KOHKID,0.081041,
KOHKUQ,6.601694,
KOHMIE,4.496797,
KOHRUX,3.710416,
KOHZEN,2.201101,
KOHZIR,2.301241,
KOHZOX,2.224259,
KOHZUD,2.140280,
KOKJOL,0.000117,
KOKMOM,6.089885,
BAQBEA01,2.674178,
KOKNII,1.672648,
KOLKED,0.000000,
KOLKIH,0.004238,
KOLKON,0.003104,
KOLLEE,0.000633,
KOMYER,3.224310,
KONBUN,1.548874,
KONCOI,1.824000,
KONKOP,1.793638,
KONQIN,0.000481,
BAQBUS,3.464926,
KOPGUR,3.740613,
KOQTIW,3.061141,
KOQVEU,2.869688,
KOQVOE,2.652425,
KORTAP,4.758487,
KORYOI,3.769900,
KORYUO,3.171468,
KORZID,5.686447,
KORZUP,4.673690,
KOSCAZ,3.932978,
BAQJUY,3.318851,
KOSCED,2.423667,
KOSFEG,0.243851,
KOSFOQ,0.247131,
KOSGAD,0.243870,
KOVCOQ,7.097304,
KOVCUW,5.383556,
KOVDUX,7.624450,
KOVFUW,0.608967,
KOVGAD,0.288958,
KOVJEN,2.812886,
BARCEF,6.880089,
KOWFEK,0.830470,
KOWFUA,5.565898,
KOWNER,3.823980,
KOWSOE,5.853270,
KOWXID,3.194369,
KOYMES,0.000000,
KOYMOC,1.371818,
KOYTIE,1.973687,
KOYTOK,1.816771,
KOZMUJ,0.000000,
BARCOM04,5.160504,
KOZNAQ,1.071669,
KUBNIH,1.985168,
KUBWAI,1.676192,
KUBZUC,0.976185,
KUCCET,1.481139,
KUCKOJ,1.340432,
KUCTUZ,2.040248,
KUDDEU,3.064321,
KUDLUT,6.055805,
KUDWOV,1.737021,
BARGOR,2.017463,
KUFJON,1.398886,
KUFJUT,1.987456,
KUFKAA,1.788972,
KUFVOZ,2.900011,
KUGGIC04,0.000001,
KUGZES,4.484957,
KUHKIJ,1.862265,
KUHROX,3.128611,
KUHWIT,0.000000,
KUHXOD,2.841728,
BARHEI,2.902396,
ADRENL,5.045893,
KUHZIY,0.936749,
KUJVIW,2.823059,
KUJVOC,2.803168,
KUJZOF,0.683739,
KULBAW,1.315583,
KULBEA,1.804451,
KULBIE,2.693993,
KULCOM,2.291757,
KULNOV,4.246271,
KULWOG,3.137959,
BARNAL,3.284162,
KUMJOR,0.000000,
KUMLUA,2.284618,
KUMYID,2.213236,
KUNCIH,1.753947,
KUNVEU,3.441987,
KUPZIH,2.392379,
KUQDAE,5.673681,
KUSBIM,7.864834,
KUSKER,8.896052,
KUSLEP,0.118345,
BARWID,1.822558,
KUSLIU,6.002499,
KUSLUF01,0.004100,
KUTCAG,4.110438,
KUTCOS,3.362070,
KUTRUN,2.622060,
KUVBAF,4.705314,
KUWVAB,0.000000,
KUYRED,2.487667,
KUYRON,1.647839,
KUYWUX,2.721505,
BASKOX,4.267270,
KUZPUR,3.549029,
LABZET,3.324332,
LABZIX,3.859602,
LADVAN01,0.000000,
LAFROA,0.460614,
LAFSIW,2.856968,
LAGGIM,2.090832,
LAGVOE,2.559564,
LAGXAS,1.225205,
LAGXIA,0.235193,
BASLEO,4.927719,
LAGZID,1.617652,
LAHBUT,2.656057,
LAHLAI,2.861499,
LAKCEI,2.482462,
LAKGEJ,2.991400,
LAKRAR,1.248260,
LAKWEB,2.418958,
LAMWUU,3.187041,
LANFOX,3.247715,
LANGOZ,3.220546,
BASQIX,4.152426,
LANMIX,0.000000,
LANNOF,2.663508,
LANTEC,2.324362,
LANTIG,2.451236,
LAPHEP,0.603465,
LAPREC,3.314515,
LAPWEG,2.314800,
LAQMOI,2.543691,
LAQPEA,0.484768,
LAQXEH,1.537009,
BASXUQ,1.749385,
LAQXIL01,1.488902,
LARZAI,0.244225,
LASPRT05,0.898516,
LAVNOL,0.263121,
LAVVOU,3.751022,
LAWCIW,3.039810,
LAWHAU,1.082083,
LAWHEY,0.946775,
LAWHOG,3.341090,
LAWKAV,4.827090,
BATLOY,2.183146,
LAWSIN,4.784197,
LAWVUC,1.139875,
LAWWOY,2.868753,
LAWZUF,5.851175,
LAXCIY,2.987053,
LAXVIQ01,0.333566,
LAYQIN,2.050577,
LAYQOT,2.066695,
LEFGEK,0.917596,
LEFGUZ,2.672937,
BATLUE,2.493344,
LEFJAI,2.419279,
LEFSIB,4.102607,
LEGSIB,0.000000,
LEHDOS,2.027007,
LEHGEL,1.241734,
LEHVUQ,3.581875,
LEHZII,1.682226,
LEJCUA,0.137174,
LEJDAH,0.419061,
LEJDEL,0.507687,
BATVIB,3.297722,
LEJDIP,0.493701,
LEJDOV,0.669629,
LEJNIY,3.970774,
LEJREZ,2.606664,
LEKDUD,1.654213,
LEKNAT,3.452675,
LEKNEX,3.610720,
LEKNIB,4.776329,
LELGUE,4.162303,
LENJAQ,4.032682,
BAWFUB,3.133921,
ADUJOY,1.680837,
LENRIF,3.563741,
LEPBOZ,3.075914,
LEPBUF,3.702639,
LEQGOD,2.705371,
LEQGUM,4.725337,
LERKEB,4.050433,
LESKIE,1.174532,
LESMIG,1.381716,
LESTOU,3.370657,
LESXUD,1.653622,
BAWXAZ,1.998773,
LETFAR,4.556618,
LETGOG,0.165592,
LETQOR,2.307370,
LETVOX,10.430368,
LEVBAR,5.604274,
LEVBIY,4.034014,
LEWHUQ,3.813712,
LEWZUI,0.040107,
LEXBAR,0.026278,
LEXKIK,5.980691,
BAYKIW,2.073715,
LEYHUV,3.936796,
LEYJAD,3.791382,
LICCIM,0.058774,
LICDOT,0.006962,
LICLIU,3.787066,
LICLOA,4.297335,
LICLUG,4.208985,
LICSOG,1.043083,
LIDCAF,1.456401,
LIDWUS,0.239335,
BAZGUE,6.567826,
LIFQIA,0.144024,
LIHLOD,0.975559,
LIHMEW,3.047161,
LIHSAZ,2.958508,
LIHSON,1.385457,
LIKJUL,0.754310,
LIKKOF,2.095941,
LIKNEA,0.001286,
LILFIW,0.000000,
LILLUO,2.046443,
BDTOLE14,0.000010,
LILVUY,0.970082,
LILWAF,1.008703,
LIMJEZ,4.575380,
LINPOQ,5.138128,
LIPYIV,1.190774,
LIRZAQ,0.028190,
LISFEB,0.833200,
LISFIF,2.027725,
LISFOL,0.951074,
LISFUR,2.017995,
BEBCUJ,2.203725,
LISJIJ,2.316773,
LISKIK,3.194571,
LISKUW,3.177437,
LISLEH,3.461331,
LISMOS,3.768669,
LISNAF,3.228960,
LIVBEZ,0.808283,
LIVRAM,1.958557,
LIVWIZ,4.304430,
LIVWOD,1.479088,
BEBHUN,2.761875,
LIWDAY,0.258200,
LIWGUU,2.969540,
LIWJAF,3.546191,
LIWJEJ,4.611890,
LIWJIN,4.780595,
LIXLIP,4.338487,
LIYGIM,0.734689,
LIYGOS,0.691424,
LIYSAN,1.949001,
LIYSER,1.652077,
BEBREH,3.873071,
LIYTOC01,2.269740,
LOBSAY,3.030809,
LOBZEH,1.023349,
LOBZIL,2.438369,
LOCBAG,2.665494,
LOCLEX,3.286404,
LOCYUA,3.875157,
LOCZAH,0.116443,
LOFVEI,1.130843,
LOFVIM,1.026780,
BEBROR,3.915014,
LOGPAA,2.776578,
LOHVEK01,0.433515,
LOHXEN,1.930166,
LOJFUN,2.885275,
LOJPEI,1.402264,
LOJPIM,1.650757,
LOKHEB,2.655793,
LOKNOO,0.440487,
LOKNUU,0.419803,
LOKQUZ,1.756438,
BECCOB,4.661320,
LOMKAC,0.300260,
LOMKEG,0.230935,
LONTUE,11.188134,
LONYOE,3.913889,
LOPCOK,6.705534,
LOPNUB,2.858570,
LOQBIF,2.609586,
LOQBOL,3.110695,
LOQCIG,3.165990,
LOQCOM,4.665465,
BECNAB,2.589851,
ADUYUU,2.980833,
LOQLIM,1.351552,
LOSBIE01,0.152832,
LOSBOK,0.428568,
LOTKOW,1.191798,
LOXLIT,3.843862,
LOYHUF,2.481379,
LOYJER,2.115947,
LOZBOR,0.558993,
LPTILL,2.951937,
LUBBAN,5.532359,
BECZAN,5.823484,
LUBBER,6.403451,
LUBKOL,2.498984,
LUBKUR,2.965450,
LUBLAY,1.428381,
LUBPED,3.272510,
LUCBES,1.634007,
LUCDIZ,4.618771,
LUCDOF,4.561394,
LUDFOH,3.736489,
LUDQAD,4.787167,
BEDGEZ,3.732188,
LUFCEU,3.073325,
LUFGOL,3.483444,
LUFTEO,4.104436,
LUHDIC,1.282221,
LUJJEF,1.604556,
LUJPEO,2.647038,
LUJTUG,3.691295,
LUKBOJ,3.032499,
LUKFUT,1.085572,
LULSAM,3.886610,
BEDJAV,2.503835,
LULSEQ,3.878571,
LULZUP,2.224940,
LUMBEC,1.947395,
LUMBUS,2.275194,
LUMHUW,2.236557,
LUMSOB,0.770930,
LUMTES,0.715046,
LUMTIW,0.793357,
